Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months
0430-IHCDJ,Male,40,No,0,Highland,92346,34.129677,-117.154277,0,15
0431-APWVY,Female,37,Yes,0,Novato,94949,38.067204,-122.524004,1,28
0432-CAJZV,Male,47,No,0,Temecula,92592,33.507255,-117.029473,0,3
0434-CSFON,Female,34,Yes,0,Los Angeles,90071,34.052917,-118.255178,3,47
0436-TWFFZ,Female,21,No,0,Long Beach,90805,33.864622,-118.179626,0,67
0439-IFYUN,Female,78,No,0,Escondido,92027,33.141265,-116.967221,0,18
0440-EKDCF,Male,47,Yes,0,Herlong,96113,40.198234,-120.18089,1,62
0440-MOGPM,Female,51,No,0,Petaluma,94954,38.235021,-122.557332,0,41
0440-QEXBZ,Female,64,No,0,Mojave,93501,35.097323,-118.171288,0,44
0440-UEDAI,Female,59,No,0,Callahan,96014,41.388397,-122.794636,0,53
0442-TDYUO,Male,44,Yes,0,Bodega,94922,38.343282,-122.9755,4,48
0442-ZXKVS,Female,79,Yes,0,Denair,95316,37.524721,-120.757977,2,54
0447-BEMNG,Female,28,Yes,0,Wrightwood,92397,34.358321,-117.618263,3,48
0447-RXSGD,Male,39,No,0,Monterey,93940,36.362741,-121.869685,0,24
0454-OKRCT,Male,32,No,0,Palo Alto,94301,37.444314,-122.149996,0,33
0455-ENTCR,Male,58,Yes,0,Jamestown,95327,37.84771,-120.486589,1,66
0455-XFASS,Female,61,Yes,2,Campbell,95008,37.279689,-121.954567,3,3
0458-HEUZG,Female,58,No,0,Alderpoint,95511,40.166028,-123.584144,0,13
0459-SPZHJ,Male,19,Yes,0,Garden Grove,92843,33.764018,-117.931507,1,63
0461-CVKMU,Female,45,Yes,0,Oak Run,96069,40.689243,-122.037023,0,23
0463-TXOAK,Male,26,No,1,Madison,95653,38.674276,-121.961866,0,52
0463-WZZKO,Male,23,No,0,Van Nuys,91406,34.195685,-118.490752,0,3
0463-ZSDNT,Male,23,No,0,Escondido,92026,33.21846,-117.116916,0,10
0464-WJTKO,Female,39,Yes,2,Cedarville,96104,41.505916,-120.152505,10,72
0468-YRPXN,Male,62,No,0,Lomita,90717,33.794209,-118.317354,0,29
0471-ARVMX,Female,70,Yes,0,Kelseyville,95451,38.93496,-122.792243,8,62
0471-LVHGK,Male,34,Yes,0,Orangevale,95662,38.689174,-121.218435,1,41
0475-RIJEP,Male,47,No,0,Pinecrest,95364,38.224869,-119.755729,0,43
0479-HMSWA,Female,63,No,1,San Clemente,92672,33.429488,-117.609432,0,26
0480-BIXDE,Female,58,Yes,0,Beale Afb,95903,39.125311,-121.392283,9,19
0480-KYJVA,Female,42,Yes,3,Sacramento,95835,38.685069,-121.543709,8,72
