Customer ID,Customer Status,Churn Category,Churn Reason
0459-SPZHJ,Stayed,None,None
0461-CVKMU,Churned,Attitude,Attitude of support person
0463-TXOAK,Stayed,None,None
0463-WZZKO,Joined,None,None
0463-ZSDNT,Stayed,None,None
0464-WJTKO,Stayed,None,None
0468-YRPXN,Stayed,None,None
0471-ARVMX,Stayed,None,None
0471-LVHGK,Churned,Competitor,Competitor offered higher download speeds
0475-RIJEP,Churned,Price,Lack of affordable download/upload speed
0479-HMSWA,Stayed,None,None
0480-BIXDE,Stayed,None,None
0480-KYJVA,Stayed,None,None
0481-SUMCB,Stayed,None,None
0484-FFVBJ,Stayed,None,None
0484-JPBRU,Stayed,None,None
0485-ZBSLN,Stayed,None,None
0486-HECZI,Churned,Price,Long distance charges
0486-LGCCH,Stayed,None,None
0487-CRLZF,Stayed,None,None
0487-RPVUM,Stayed,None,None
0487-VVUVK,Stayed,None,None
0488-GSLFR,Churned,Dissatisfaction,Product dissatisfaction
0489-WMEMG,Stayed,None,None
0491-KAPQG,Stayed,None,None
0495-RVCBF,Churned,Dissatisfaction,Poor expertise of online support
0495-ZBNGW,Churned,Competitor,Competitor offered more data
0496-AHOOK,Stayed,None,None
0504-HHAPI,Churned,Other,Don't know
0505-SPOOW,Stayed,None,None
0506-LVNGN,Churned,Competitor,Competitor had better devices
0506-YLVKJ,Stayed,None,None
0508-OOLTO,Joined,None,None
0508-SQWPL,Stayed,None,None
0511-JTEOY,Churned,Competitor,Competitor made better offer
0512-FLFDW,Stayed,None,None
0513-RBGPE,Stayed,None,None
0515-YPMCW,Churned,Competitor,Competitor had better devices
0516-OOHAR,Stayed,None,None
0516-QREYC,Stayed,None,None
0516-UXRMT,Stayed,None,None
0516-VRYBW,Churned,Attitude,Attitude of support person
0516-WJVXC,Churned,Dissatisfaction,Network reliability
0519-DRGTI,Stayed,None,None
0519-XUZJU,Churned,Dissatisfaction,Service dissatisfaction
0520-FDVVT,Churned,Price,Price too high
0523-VNGTF,Stayed,None,None
0524-IAVZO,Churned,Other,Don't know
0526-SXDJP,Stayed,None,None
0529-ONKER,Churned,Attitude,Attitude of support person
0530-IJVDB,Stayed,None,None
0531-XBKMM,Stayed,None,None
0531-ZZJWQ,Stayed,None,None
0533-BNWKF,Churned,Competitor,Competitor made better offer
0533-UCAAU,Stayed,None,None
0536-ACXIP,Stayed,None,None
0536-BGFMZ,Stayed,None,None
0536-ESJEP,Stayed,None,None
0537-QYZZN,Stayed,None,None
0541-FITGH,Joined,None,None
0547-HURJB,Stayed,None,None
0549-CYCQN,Stayed,None,None
0550-DCXLH,Stayed,None,None
0556-FJEGU,Stayed,None,None
0557-ASKVU,Stayed,None,None
0559-CKHUS,Stayed,None,None
0562-FGDCR,Stayed,None,None
0562-HKHML,Stayed,None,None
0562-KBDVM,Stayed,None,None
0564-JJHGS,Churned,Dissatisfaction,Limited range of services
0564-MUUQK,Stayed,None,None
0565-IYCGT,Churned,Competitor,Competitor made better offer
0565-JUPYD,Stayed,None,None
0567-GGCAC,Stayed,None,None
0567-XRHCU,Stayed,None,None
0568-ONFPC,Churned,Other,Moved
0570-BFQHT,Stayed,None,None
0572-ZJKLT,Stayed,None,None
0575-CUQOV,Stayed,None,None
0576-WNXXC,Churned,Dissatisfaction,Service dissatisfaction
0577-WHMEV,Stayed,None,None
0578-SKVMF,Churned,Competitor,Competitor had better devices
0580-PIQHM,Stayed,None,None
0581-BXBUB,Stayed,None,None
0581-MDMPW,Stayed,None,None
0582-AVCLN,Stayed,None,None
0584-BJQGZ,Stayed,None,None
0585-EGDDA,Stayed,None,None
0587-DMGBH,Churned,Competitor,Competitor offered higher download speeds
0594-UFTUL,Stayed,None,None
0595-ITUDF,Stayed,None,None
0596-BQCEQ,Churned,Competitor,Competitor had better devices
0599-XNYDO,Stayed,None,None
0601-WZHJF,Churned,Attitude,Attitude of service provider
0602-DDUML,Stayed,None,None
0603-OLQDC,Stayed,None,None
0603-TPMIB,Stayed,None,None
0604-THJFP,Stayed,None,None
0607-DAAHE,Churned,Price,Long distance charges
0607-MVMGC,Stayed,None,None
0608-JDVEC,Stayed,None,None
0611-DFXKO,Churned,Dissatisfaction,Service dissatisfaction
0612-RTZZA,Churned,Price,Price too high
0613-WUXUM,Stayed,None,None
0616-ATFGB,Churned,Competitor,Competitor had better devices
0617-AQNWT,Churned,Competitor,Competitor made better offer
0617-FHSGK,Churned,Price,Extra data charges
0618-XWMSS,Churned,Price,Long distance charges
0619-OLYUR,Stayed,None,None
0620-DLSLK,Stayed,None,None
0620-XEFWH,Stayed,None,None
0621-CXBKL,Stayed,None,None
0621-HJWXJ,Stayed,None,None
0621-JFHOL,Stayed,None,None
0621-TSSMU,Stayed,None,None
0621-TWIEM,Churned,Attitude,Attitude of support person
0623-EJQEG,Stayed,None,None
0623-GDISB,Joined,None,None
0623-IIHUG,Churned,Competitor,Competitor made better offer
0625-AFOHS,Stayed,None,None
0626-QXNGV,Stayed,None,None
0628-CNQRM,Churned,Other,Don't know
0634-SZPQA,Churned,Competitor,Competitor offered higher download speeds
0635-WKOLD,Stayed,None,None
0637-KVDLV,Churned,Other,Don't know
0637-UBJRP,Churned,Competitor,Competitor offered higher download speeds
0637-YLETY,Churned,Attitude,Attitude of service provider
0639-TSIQW,Churned,Competitor,Competitor offered more data
0640-YJTPY,Stayed,None,None
0641-EVBOJ,Joined,None,None
0643-OKLRP,Churned,Dissatisfaction,Network reliability
0644-OQMDK,Stayed,None,None
0650-BWOZN,Stayed,None,None
0654-HMSHN,Churned,Attitude,Attitude of support person
0654-PQKDW,Stayed,None,None
0655-RBDUG,Churned,Competitor,Competitor had better devices
0655-YDGFJ,Stayed,None,None
0657-DOGUM,Stayed,None,None
0661-KBKPA,Stayed,None,None
0661-KQHNK,Stayed,None,None
0661-WCQNQ,Stayed,None,None
0661-XEYAN,Churned,Competitor,Competitor had better devices
0665-XHDJU,Stayed,None,None
0666-UXTJO,Stayed,None,None
0667-NSRGI,Stayed,None,None
0668-OGMHD,Stayed,None,None
0670-ANMUU,Stayed,None,None
0670-KDOMA,Joined,None,None
0673-IGUQO,Joined,None,None
0674-DGMAQ,Stayed,None,None
0674-EYYZV,Joined,None,None
0674-GCDXG,Stayed,None,None
0675-NCDYU,Stayed,None,None
0678-RLHVP,Stayed,None,None
0679-IDSTG,Churned,Competitor,Competitor had better devices
0679-TDGAK,Stayed,None,None
0680-DFNNY,Churned,Competitor,Competitor offered more data
0682-USIXD,Stayed,None,None
0684-AOSIH,Churned,Dissatisfaction,Network reliability
0685-MLYYM,Churned,Price,Long distance charges
0687-ZVTHB,Churned,Competitor,Competitor offered more data
0689-DSXGL,Stayed,None,None
0689-NKYLF,Churned,Attitude,Attitude of support person
0690-SRQID,Stayed,None,None
0691-IFBQW,Churned,Competitor,Competitor made better offer
0691-JVSYA,Churned,Competitor,Competitor had better devices
0691-NIKRI,Stayed,None,None
0696-UKTOX,Stayed,None,None
0697-ZMSWS,Churned,Dissatisfaction,Limited range of services
0699-NDKJM,Stayed,None,None
0701-RFGFI,Stayed,None,None
0701-TJSEF,Stayed,None,None
0702-PGIBZ,Churned,Competitor,Competitor made better offer
0704-VCUMB,Stayed,None,None
0707-HOVVN,Stayed,None,None
0708-LGSMF,Stayed,None,None
0708-SJDIS,Stayed,None,None
0709-TVGUR,Churned,Competitor,Competitor had better devices
0716-BQNDX,Stayed,None,None
0719-SYFRB,Churned,Competitor,Competitor offered higher download speeds
0722-SVSFK,Stayed,None,None
0722-TROQR,Churned,Price,Lack of affordable download/upload speed
0723-DRCLG,Churned,Other,Don't know
0723-FDLAY,Stayed,None,None
0723-VSOBE,Stayed,None,None
0725-CXOTM,Stayed,None,None
0727-BMPLR,Churned,Competitor,Competitor offered higher download speeds
0727-BNRLG,Stayed,None,None
0727-IWKVK,Churned,Price,Extra data charges
0730-BGQGF,Stayed,None,None
0730-KOAVE,Stayed,None,None
0731-EBJQB,Stayed,None,None
0732-OCQOC,Stayed,None,None
0733-VUNUW,Churned,Competitor,Competitor had better devices
0734-OXWBT,Joined,None,None
0739-UUAJR,Stayed,None,None
0742-LAFQK,Stayed,None,None
0742-MOABM,Churned,Competitor,Competitor made better offer
0742-NXBGR,Churned,Competitor,Competitor had better devices
0743-HNPFG,Stayed,None,None
0743-HRVFF,Stayed,None,None
0744-BIKKF,Stayed,None,None
0744-GKNGE,Stayed,None,None
0746-JTRFU,Churned,Dissatisfaction,Product dissatisfaction
0748-RDGGM,Churned,Price,Long distance charges
0749-IRGQE,Stayed,None,None
0750-EBAIU,Stayed,None,None
0750-EKNGL,Stayed,None,None
0754-EEBDC,Stayed,None,None
0754-UKWQP,Churned,Competitor,Competitor had better devices
0756-MPZRL,Stayed,None,None
0757-WCUUZ,Stayed,None,None
0761-AETCS,Churned,Attitude,Attitude of support person
0769-MURVM,Stayed,None,None
0771-CHWSK,Stayed,None,None
0771-WLCLA,Stayed,None,None
0772-GYEQQ,Churned,Competitor,Competitor offered more data
0774-IFUVM,Stayed,None,None
0774-RMNUW,Stayed,None,None
0778-NELLA,Churned,Competitor,Competitor offered higher download speeds
0780-XNZFN,Stayed,None,None
0781-LKXBR,Churned,Competitor,Competitor had better devices
0784-GTUUK,Stayed,None,None
0784-ZQJZX,Stayed,None,None
0786-IVLAW,Stayed,None,None
0786-VSSUD,Churned,Competitor,Competitor had better devices
0787-LHDYT,Stayed,None,None
0788-DXBFY,Stayed,None,None
0793-TWELN,Stayed,None,None
0794-YVSGE,Stayed,None,None
0795-GMVQO,Stayed,None,None
0795-LAFGP,Stayed,None,None
0795-XCCTE,Stayed,None,None
0799-DDIHE,Stayed,None,None
0804-XBFBV,Stayed,None,None
0804-YGEQV,Stayed,None,None
0807-ZABDG,Churned,Competitor,Competitor offered higher download speeds
0810-BDHAW,Stayed,None,None
0810-DHDBD,Stayed,None,None
0811-GSDTP,Stayed,None,None
0812-WUPTB,Churned,Price,Long distance charges
0813-TAXXS,Stayed,None,None
0815-MFZGM,Stayed,None,None
0816-TSPHQ,Joined,None,None
0817-HSUSE,Joined,None,None
0818-OCPZO,Churned,Competitor,Competitor offered more data
0820-FNRNX,Stayed,None,None
0822-GAVAP,Churned,Competitor,Competitor made better offer
0822-QGCXA,Stayed,None,None
0823-HSCDJ,Churned,Competitor,Competitor made better offer
0824-VWDPO,Stayed,None,None
0825-CPPQH,Stayed,None,None
0827-ITJPH,Stayed,None,None
0829-DDVLK,Stayed,None,None
0829-XXPLX,Stayed,None,None
0831-JNISG,Stayed,None,None
0835-DUUIQ,Stayed,None,None
0835-JKADZ,Stayed,None,None
0836-SEYLU,Churned,Competitor,Competitor had better devices
0839-JTCUD,Stayed,None,None
0839-QNXME,Stayed,None,None
0840-DCNZE,Stayed,None,None
0840-DFEZH,Stayed,None,None
0841-NULXI,Churned,Other,Don't know
0842-IWYCP,Stayed,None,None
0843-WTBXE,Churned,Other,Don't know
0847-HGRML,Stayed,None,None
0848-SOMKO,Stayed,None,None
0848-ZGQIJ,Stayed,None,None
0851-DFJKB,Stayed,None,None
0853-NWIFK,Stayed,None,None
0853-TWRVK,Stayed,None,None
0854-UYHZD,Stayed,None,None
0856-NAOES,Stayed,None,None
0859-YGKFW,Stayed,None,None
0862-PRCBS,Stayed,None,None
0864-FVJNJ,Stayed,None,None
0866-QLSIR,Churned,Attitude,Attitude of support person
0867-LDTTC,Stayed,None,None
0867-MKZVY,Churned,Price,Price too high
0868-VJRDR,Stayed,None,None
0869-PAPRP,Stayed,None,None
0870-VEMYL,Churned,Competitor,Competitor offered higher download speeds
0871-OPBXW,Joined,None,None
0871-URUWO,Churned,Competitor,Competitor had better devices
0872-CASZJ,Stayed,None,None
0872-JCPIB,Stayed,None,None
0872-NXJYS,Churned,Competitor,Competitor offered more data
0875-CABNR,Churned,Attitude,Attitude of support person
0876-WDUUZ,Churned,Price,Long distance charges
0877-SDMBN,Churned,Competitor,Competitor made better offer
0880-FVFWF,Stayed,None,None
0880-TKATG,Churned,Competitor,Competitor had better devices
0883-EIBTI,Churned,Dissatisfaction,Limited range of services
0885-HMGPY,Stayed,None,None
0886-QGENL,Churned,Attitude,Attitude of service provider
0887-HJGAR,Churned,Competitor,Competitor offered higher download speeds
0887-WBJVH,Stayed,None,None
0895-DQHEW,Churned,Competitor,Competitor offered more data
0895-LMRSF,Stayed,None,None
0895-LNKRC,Stayed,None,None
0895-UADGO,Stayed,None,None
0897-FEGMU,Churned,Dissatisfaction,Network reliability
0898-XCGTF,Stayed,None,None
0899-LIIBW,Stayed,None,None
0899-WZRSD,Stayed,None,None
0902-RFHOF,Stayed,None,None
0902-XKXPN,Stayed,None,None
0906-QVPMS,Stayed,None,None
0907-HQNTS,Stayed,None,None
0909-SDHNU,Stayed,None,None
0909-SELIE,Stayed,None,None
0913-XWSCN,Stayed,None,None
0916-KNFAJ,Stayed,None,None
0916-QOFDP,Stayed,None,None
0917-EZOLA,Churned,Price,Extra data charges
0921-OHLVP,Stayed,None,None
0923-PNFUB,Churned,Attitude,Attitude of support person
0924-BJCRC,Stayed,None,None
0925-VYDLG,Churned,Attitude,Attitude of service provider
0927-CNGRH,Joined,None,None
0927-LCSMG,Churned,Competitor,Competitor offered more data
0928-JMXNP,Stayed,None,None
0928-XUTSN,Stayed,None,None
0929-HYQEW,Joined,None,None
0929-PECLO,Stayed,None,None
0930-EHUZA,Stayed,None,None
0931-MHTEM,Stayed,None,None
0932-YIXYU,Stayed,None,None
0936-NQLJU,Stayed,None,None
0939-EREMR,Stayed,None,None
0939-YAPAF,Churned,Competitor,Competitor offered higher download speeds
0940-OUQEC,Churned,Competitor,Competitor offered more data
0942-KOWSM,Stayed,None,None
0943-ZQPXH,Stayed,None,None
0945-TSONX,Stayed,None,None
0946-CLJTI,Churned,Competitor,Competitor had better devices
0946-FKYTX,Stayed,None,None
0947-IDHRQ,Churned,Competitor,Competitor made better offer
0947-MUGVO,Churned,Competitor,Competitor had better devices
0952-KMEEH,Churned,Price,Long distance charges
0953-LGOVU,Stayed,None,None
0956-ACVZC,Stayed,None,None
0956-SYCWG,Stayed,None,None
0958-YHXGP,Stayed,None,None
0959-WHOKV,Stayed,None,None
0960-HUWBM,Stayed,None,None
0961-ZWLVI,Stayed,None,None
0962-CQPWQ,Stayed,None,None
0963-ZBDRN,Churned,Attitude,Attitude of support person
0967-BMLBD,Stayed,None,None
0968-GSIKN,Churned,Competitor,Competitor made better offer
0969-RGKCU,Stayed,None,None
0970-ETWGE,Churned,Competitor,Competitor had better devices
0970-QXPXW,Joined,None,None
0971-QIFJK,Stayed,None,None
0973-KYVNF,Stayed,None,None
0975-UYDTX,Stayed,None,None
0975-VOOVL,Joined,None,None
0979-MOZQI,Stayed,None,None
0979-PHULV,Churned,Competitor,Competitor made better offer
0980-FEXWF,Stayed,None,None
0980-PVMRC,Stayed,None,None
0983-TATYJ,Stayed,None,None
0988-AADSA,Stayed,None,None
0988-JRWWP,Joined,None,None
0991-BRRFB,Churned,Other,Deceased
0993-OSGPT,Stayed,None,None
0997-YTLNY,Stayed,None,None
0999-QXNSA,Stayed,None,None
1000-AJSLD,Churned,Competitor,Competitor made better offer
1004-NOZNR,Stayed,None,None
1009-IRMNA,Churned,Attitude,Attitude of support person
