Customer ID,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data
0107-YHINA,None,Yes,40.71,Yes,Yes,Fiber Optic,25,No,No,Yes,No,Yes,Yes,Yes,Yes
0111-KLBQG,Offer C,Yes,31.86,No,Yes,Fiber Optic,23,No,Yes,No,No,Yes,Yes,Yes,Yes
0112-QAWRZ,Offer D,Yes,48.71,Yes,Yes,Fiber Optic,12,No,No,Yes,No,Yes,No,No,Yes
0112-QWPNC,Offer B,Yes,39.55,Yes,Yes,Cable,10,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
0114-IGABW,Offer A,No,0,No Info,Yes,Cable,29,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0114-PEGZZ,None,Yes,49.69,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,Yes,Yes
0114-RSRRW,Offer D,Yes,49.6,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0115-TFERT,None,Yes,36.26,Yes,Yes,Fiber Optic,59,No,Yes,Yes,Yes,Yes,Yes,Yes,No
0117-LFRMW,None,No,0,No Info,Yes,DSL,23,Yes,Yes,Yes,No,No,No,No,Yes
0118-JPNOY,None,Yes,33.74,No,Yes,Fiber Optic,7,Yes,No,No,No,Yes,No,No,Yes
0121-SNYRK,Offer B,No,0,No Info,Yes,DSL,7,Yes,No,No,Yes,No,No,No,Yes
0122-OAHPZ,None,Yes,28.62,Yes,Yes,Fiber Optic,26,No,No,No,No,No,No,Yes,Yes
0123-CRBRT,Offer B,Yes,47.19,Yes,Yes,DSL,28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0125-LZQXK,Offer D,Yes,45.92,No,Yes,Fiber Optic,12,No,No,Yes,Yes,Yes,Yes,Yes,Yes
0128-MKWSG,None,No,0,No Info,Yes,DSL,19,Yes,No,No,Yes,No,Yes,Yes,Yes
0129-KPTWJ,None,Yes,33.22,No,Yes,Fiber Optic,23,No,No,Yes,No,Yes,Yes,Yes,Yes
0129-QMPDR,None,Yes,27.4,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0130-SXOUN,Offer A,Yes,48.78,Yes,Yes,Fiber Optic,8,No,Yes,No,No,No,Yes,Yes,No
0133-BMFZO,None,Yes,36.81,No,Yes,Fiber Optic,16,Yes,Yes,No,Yes,No,No,No,Yes
0134-XWXCE,None,Yes,7.72,No,Yes,DSL,17,No,No,Yes,Yes,Yes,Yes,Yes,Yes
0135-NMXAP,Offer D,Yes,14.38,Yes,Yes,Fiber Optic,6,No,Yes,No,No,Yes,No,No,Yes
0136-IFMYD,None,Yes,18.41,Yes,Yes,Fiber Optic,17,No,Yes,Yes,Yes,Yes,Yes,No,Yes
0137-OCGAB,Offer E,Yes,1.23,Yes,Yes,Fiber Optic,69,No,Yes,No,No,No,No,No,Yes
0137-UDEUO,Offer E,Yes,25.75,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0139-IVFJG,None,Yes,4.65,No,Yes,Fiber Optic,53,Yes,Yes,No,No,Yes,No,No,Yes
0141-YEAYS,None,Yes,2.97,Yes,Yes,Fiber Optic,4,No,Yes,Yes,No,No,No,No,Yes
0142-GVYSN,Offer C,Yes,13.34,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0147-ESWWR,None,Yes,20.15,Yes,Yes,Fiber Optic,21,No,No,No,Yes,Yes,Yes,Yes,Yes
0148-DCDOS,None,Yes,34.88,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,Yes,Yes
0151-ONTOV,Offer E,Yes,39.81,No,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes
0156-FVPTA,Offer D,Yes,27.24,No,Yes,DSL,21,Yes,No,No,Yes,No,No,No,Yes
0164-APGRB,Offer A,Yes,48.37,Yes,Yes,Fiber Optic,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0164-XAIRP,None,Yes,10.64,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0168-XZKBB,None,Yes,7.84,Yes,Yes,Fiber Optic,16,No,No,No,No,Yes,No,No,Yes
0174-QRVVY,None,Yes,9.2,Yes,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0177-PXBAT,None,Yes,25.15,Yes,Yes,Fiber Optic,20,Yes,No,Yes,Yes,Yes,Yes,No,Yes
0178-CIIKR,None,Yes,2.69,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0178-SZBHO,None,Yes,1.09,Yes,Yes,Fiber Optic,13,No,Yes,No,No,Yes,No,No,Yes
0181-RITDD,None,Yes,1.76,No,Yes,Fiber Optic,20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0186-CAERR,None,Yes,2.88,Yes,Yes,Fiber Optic,48,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0187-QSXOE,None,Yes,41.97,No,Yes,Fiber Optic,11,No,No,No,No,Yes,Yes,Yes,Yes
0187-WZNAB,Offer C,Yes,46.66,No,Yes,Fiber Optic,28,Yes,No,No,No,No,No,No,Yes
0188-GWFLE,None,Yes,1.81,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0191-EQUUH,Offer C,No,0,No Info,Yes,Cable,75,Yes,No,No,Yes,No,No,No,Yes
0191-ZHSKZ,None,Yes,38.61,No,Yes,DSL,5,Yes,Yes,No,No,Yes,Yes,No,Yes
0193-ESZXP,None,Yes,16.94,No,Yes,Fiber Optic,19,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
0195-IESCP,Offer D,Yes,2.02,Yes,Yes,Fiber Optic,82,No,No,No,No,No,Yes,Yes,No
0196-JTUQI,None,Yes,9.27,Yes,Yes,Fiber Optic,28,No,No,No,No,No,No,No,Yes
0196-VULGZ,None,Yes,28.71,Yes,Yes,Fiber Optic,17,No,No,No,No,No,Yes,No,Yes
0197-PNKNK,None,Yes,38.92,Yes,Yes,Fiber Optic,16,Yes,No,Yes,No,No,No,No,No
0201-MIBOL,None,Yes,10.45,Yes,Yes,Fiber Optic,20,Yes,No,No,No,Yes,Yes,Yes,Yes
0201-OAMXR,Offer A,Yes,10.21,Yes,Yes,Fiber Optic,52,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0203-HHYIJ,Offer C,Yes,5.57,Yes,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0206-OYVOC,Offer B,Yes,24.33,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0206-TBWLC,Offer B,Yes,11.4,Yes,Yes,Fiber Optic,26,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0207-MDKNV,None,Yes,22.39,No,Yes,Fiber Optic,7,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
0208-BPQEJ,Offer D,Yes,8.25,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0212-ISBBF,None,No,0,No Info,Yes,Cable,22,No,Yes,No,No,Yes,Yes,Yes,Yes
0214-JHPFW,None,No,0,No Info,Yes,Cable,85,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0215-BQKGS,Offer C,Yes,24.73,No,Yes,Fiber Optic,20,Yes,Yes,Yes,No,No,No,No,No
0218-QNVAS,Offer A,Yes,28.34,Yes,Yes,Fiber Optic,59,No,Yes,No,No,Yes,Yes,Yes,Yes
0219-QAERP,None,Yes,9.81,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0219-YTZUE,Offer E,Yes,28.77,Yes,Yes,Fiber Optic,19,No,Yes,Yes,No,No,No,Yes,Yes
0220-EBGCE,Offer E,Yes,14.14,No,Yes,Fiber Optic,28,No,No,Yes,No,No,Yes,Yes,Yes
0221-NAUXK,None,Yes,7.86,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0221-WMXNQ,Offer E,Yes,36.4,No,Yes,Fiber Optic,29,Yes,No,No,No,No,No,No,Yes
0222-CNVPT,Offer B,No,0,No Info,Yes,DSL,19,Yes,No,No,No,Yes,Yes,Yes,Yes
0224-HJAPT,None,Yes,22.01,Yes,Yes,Cable,85,No,No,No,No,No,No,Yes,Yes
0224-NIJLP,Offer E,Yes,2.87,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0224-RLWWD,Offer E,Yes,23.91,No,Yes,Cable,22,No,No,No,No,No,No,No,Yes
0225-ZORZP,Offer E,Yes,13.72,No,Yes,Fiber Optic,26,No,Yes,No,No,No,Yes,Yes,Yes
0228-MAUWC,Offer D,Yes,11.85,Yes,Yes,DSL,18,No,No,Yes,Yes,No,No,No,Yes
0229-LFJAF,Offer A,Yes,3.66,Yes,Yes,DSL,13,Yes,Yes,Yes,Yes,No,No,No,Yes
0230-UBYPQ,Offer B,No,0,No Info,Yes,DSL,7,Yes,No,No,Yes,No,No,No,Yes
0230-WEQUW,None,No,0,No Info,Yes,DSL,29,Yes,Yes,Yes,Yes,Yes,No,No,Yes
0231-LXVAP,None,Yes,44.56,No,Yes,Fiber Optic,27,No,No,No,Yes,No,No,No,Yes
0233-FTHAV,None,Yes,15.29,Yes,Yes,Fiber Optic,48,No,No,Yes,No,No,No,No,Yes
0234-TEVTT,None,No,0,No Info,Yes,DSL,22,Yes,No,Yes,No,No,Yes,Yes,Yes
0235-KGSLC,Offer E,Yes,33.34,No,Yes,Fiber Optic,4,No,No,Yes,No,Yes,No,No,Yes
0236-HFWSV,None,Yes,48.93,Yes,Yes,Fiber Optic,15,No,No,No,No,Yes,Yes,Yes,Yes
0237-YFUTL,Offer B,Yes,34.57,Yes,Yes,Fiber Optic,13,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
0238-WHBIQ,Offer A,Yes,33.75,Yes,Yes,Cable,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0239-OXEXL,None,Yes,43.27,Yes,Yes,Fiber Optic,21,Yes,Yes,No,No,No,No,No,No
0244-LGNFY,None,Yes,30,Yes,Yes,DSL,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0247-SLUJI,None,Yes,34.28,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0248-IPDFW,None,Yes,29.13,Yes,Yes,Cable,51,No,No,No,No,No,No,No,Yes
0248-PGHBZ,Offer A,Yes,2.57,No,Yes,Fiber Optic,21,Yes,Yes,No,Yes,Yes,No,No,Yes
0253-ZTEOB,None,Yes,8.94,Yes,Yes,DSL,27,No,Yes,No,Yes,Yes,Yes,Yes,Yes
0254-FNMCI,None,Yes,41.91,No,Yes,Fiber Optic,73,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0254-KCJGT,Offer B,Yes,41.34,Yes,Yes,Cable,24,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
0254-WWRKD,Offer A,Yes,46.9,No,Yes,Cable,28,No,Yes,No,No,No,No,No,Yes
0256-LTHVJ,Offer C,Yes,16.85,No,Yes,Fiber Optic,13,No,No,No,No,No,Yes,Yes,Yes
0257-KXZGU,Offer C,Yes,33.28,Yes,Yes,DSL,51,No,Yes,Yes,No,No,No,Yes,Yes
0257-ZESQC,None,Yes,7.02,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes
0258-NOKBL,None,Yes,31.48,No,Yes,Fiber Optic,73,No,Yes,Yes,No,No,Yes,Yes,Yes
0259-GBZSH,Offer E,Yes,40.43,Yes,Yes,Cable,27,No,No,No,No,Yes,No,Yes,Yes
0260-ZDLGK,None,Yes,35.49,No,Yes,Cable,11,No,No,Yes,Yes,Yes,Yes,Yes,Yes
0263-FJTQO,Offer B,Yes,44.49,Yes,Yes,Cable,28,Yes,No,No,Yes,Yes,No,No,Yes
0264-CNITK,None,Yes,31.03,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0265-EDXBD,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes
0265-PSUAE,Offer D,Yes,27.27,No,Yes,Fiber Optic,76,Yes,No,Yes,No,Yes,Yes,Yes,Yes
0266-CLZKZ,Offer A,Yes,17.79,Yes,Yes,Fiber Optic,22,No,No,Yes,Yes,Yes,Yes,Yes,Yes
0266-GMEAO,None,Yes,15.94,Yes,Yes,Fiber Optic,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0268-QKIWO,Offer E,Yes,24.63,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0269-XFESX,None,Yes,48.02,Yes,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0270-THENM,None,Yes,28.37,Yes,Yes,DSL,18,Yes,Yes,Yes,Yes,No,No,No,Yes
0274-JKUJR,Offer E,No,0,No Info,Yes,Cable,47,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
0277-BKSQP,Offer E,Yes,1.56,No,Yes,DSL,57,No,No,No,No,Yes,No,No,Yes
0277-ORXQS,Offer A,No,0,No Info,Yes,Cable,23,No,No,No,Yes,Yes,Yes,Yes,No
0278-YXOOG,Offer E,Yes,34.26,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0280-XJGEX,None,Yes,44.33,Yes,Yes,Fiber Optic,11,No,Yes,Yes,No,Yes,Yes,Yes,Yes
0281-CNTZX,Offer B,Yes,38.36,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0282-NVSJS,Offer D,No,0,No Info,Yes,DSL,14,No,No,No,Yes,No,No,No,Yes
0285-INHLN,None,Yes,36.19,No,Yes,DSL,53,Yes,Yes,No,No,No,No,No,Yes
0289-IVARM,None,Yes,44.81,No,Yes,DSL,20,Yes,Yes,Yes,No,No,No,No,Yes
0292-WEGCH,Offer B,Yes,4.33,Yes,Yes,DSL,12,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0295-PPHDO,None,Yes,5.59,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,Yes,Yes
0295-QVKPB,Offer E,Yes,13.96,No,Yes,DSL,5,No,No,Yes,Yes,Yes,No,No,Yes
0297-RBCSG,None,Yes,41.79,No,Yes,DSL,6,No,Yes,No,Yes,No,Yes,Yes,No
0298-XACET,None,No,0,No Info,Yes,DSL,17,No,Yes,Yes,Yes,Yes,No,No,Yes
0301-FIDRB,None,No,0,No Info,Yes,DSL,22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0301-KOBTQ,None,Yes,14.91,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0302-JOIVN,None,Yes,16.88,No,Yes,Fiber Optic,6,No,Yes,Yes,No,Yes,Yes,Yes,Yes
0303-UNCIP,Offer B,Yes,37.55,Yes,Yes,DSL,30,No,No,Yes,No,No,Yes,Yes,No
0303-WMMRN,None,Yes,21.01,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0305-SQECB,None,No,0,No Info,Yes,DSL,17,Yes,No,No,Yes,No,No,No,No
0306-JAELE,None,Yes,31.09,No,Yes,Fiber Optic,11,No,No,No,Yes,Yes,Yes,Yes,Yes
0307-BCOPK,Offer D,Yes,41.51,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0308-GIQJT,None,Yes,6.1,Yes,Yes,Fiber Optic,9,No,Yes,No,Yes,Yes,Yes,No,Yes
0308-IVGOK,None,No,0,No Info,Yes,DSL,59,No,Yes,Yes,Yes,No,No,No,Yes
0310-MVLET,None,Yes,49.33,Yes,Yes,Fiber Optic,7,No,Yes,No,No,Yes,Yes,Yes,Yes
0310-SUCIN,None,Yes,23.06,No,Yes,Cable,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0310-VQXAM,None,Yes,40.74,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0311-QYWSS,None,Yes,39.16,No,Yes,DSL,8,Yes,No,No,No,No,No,No,Yes
0311-UNPFF,None,Yes,38.09,No,Yes,Fiber Optic,22,No,No,No,No,Yes,Yes,Yes,No
0314-TKOSI,Offer E,Yes,6.98,No,Yes,Cable,30,Yes,Yes,No,No,No,No,No,No
0315-LVCRK,None,Yes,30.57,No,Yes,Fiber Optic,15,No,No,Yes,No,No,Yes,Yes,Yes
0318-QUUOB,None,Yes,43.67,No,Yes,Fiber Optic,73,No,No,No,No,Yes,No,Yes,No
0318-ZOPWS,None,Yes,2.82,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0319-QZTCO,Offer E,Yes,11.47,No,Yes,DSL,51,No,Yes,No,No,Yes,No,No,Yes
0320-DWVTU,Offer B,Yes,43.57,No,Yes,Fiber Optic,13,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
0320-JDNQG,None,Yes,37.95,No,Yes,Fiber Optic,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes
0322-CHQRU,None,Yes,25.49,No,Yes,DSL,9,No,No,No,No,No,No,No,Yes
0322-YINQP,None,Yes,11.35,No,Yes,DSL,9,Yes,No,No,No,No,No,No,Yes
0323-XWWTN,None,Yes,33.87,Yes,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0324-BRPCJ,None,Yes,21.33,Yes,Yes,Cable,24,No,Yes,No,No,Yes,Yes,Yes,Yes
0325-XBFAC,None,Yes,19.49,No,Yes,Fiber Optic,10,No,No,Yes,No,Yes,Yes,Yes,No
0326-VDYXE,Offer A,Yes,16.66,Yes,Yes,Fiber Optic,26,No,No,Yes,No,Yes,Yes,Yes,No
0327-WFZSY,Offer C,Yes,17.29,Yes,Yes,Fiber Optic,75,No,No,Yes,No,Yes,Yes,Yes,Yes
0328-GRPMV,None,Yes,17.37,No,Yes,Fiber Optic,25,No,No,No,No,No,No,No,Yes
0329-GTIAJ,None,Yes,30.18,No,Yes,Fiber Optic,7,No,Yes,No,Yes,Yes,Yes,Yes,Yes
0330-BGYZE,Offer B,Yes,19.22,Yes,Yes,Fiber Optic,4,No,Yes,Yes,No,Yes,Yes,Yes,Yes
0330-IVZHA,Offer E,Yes,17.08,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes
0334-GDDSO,Offer E,Yes,9.22,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes
0334-ZFJSR,None,Yes,35.38,Yes,Yes,Cable,13,Yes,Yes,No,Yes,No,No,No,No
0336-KXKFK,None,No,0,No Info,Yes,DSL,6,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
0336-PIKEI,Offer A,Yes,5.27,No,Yes,DSL,9,Yes,Yes,Yes,Yes,Yes,No,No,No
0337-CNPZE,None,Yes,10.43,Yes,Yes,Fiber Optic,22,No,Yes,Yes,No,Yes,Yes,Yes,No
0343-QLUZP,Offer B,No,0,No Info,Yes,DSL,25,Yes,Yes,Yes,No,No,No,No,Yes
0345-HKJVM,None,Yes,2.6,No,Yes,Fiber Optic,22,No,No,No,No,Yes,Yes,Yes,Yes
0345-XMMUG,None,Yes,2,Yes,Yes,Fiber Optic,48,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0347-UBKUZ,None,Yes,2.74,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
0348-SDKOL,None,Yes,3.51,Yes,Yes,Fiber Optic,28,No,No,Yes,Yes,Yes,Yes,Yes,No
0354-VXMJC,None,Yes,34.04,No,No,No Info,0,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
